Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
0,0,midLeft,high,4.776874566534125,1,100,0,0,0,80.05000000000001,0.0499999999999999,0.0499999999999999,0.0499999999999999,4.697600016189873
1,0,downLeft,lowB,4.122052628623852,1,0,0,1,0,16.010000000000005,0.0099999999999999,0.81,0.0099999999999999,4.18458986113352
2,0,midRight,lowA,4.022218276871627,1,0,1,0,0,3.202,0.802,0.1619999999999999,0.0019999999999999,3.770982609643691
3,0,downRight,lowC,3.9699273649584352,1,0,0,0,1,0.6403999999999996,0.1604,0.0323999999999999,0.8004,3.9851838574367737
4,0,midLeft,high,5.660611858718573,1,100,0,0,0,80.12808000000001,0.03208,0.0064799999999999,0.16008,5.542132093076224
5,0,downLeft,lowB,3.86059482412002,1,0,0,1,0,16.025616,0.0064159999999999,0.801296,0.0320159999999999,4.019063558057001
6,0,midLeft,high,43.954055840929215,1,100,0,0,0,83.2051232,0.0012831999999999,0.1602591999999999,0.0064031999999999,44.050866313570545
7,0,midLeft,high,211.9281927450145,1,100,0,0,0,96.64102464,0.0002566399999999,0.0320518399999999,0.0012806399999999,211.99953954680643
8,0,midRight,lowA,4.064214040556831,1,0,1,0,0,19.32820492799999,0.800051328,0.0064103679999999,0.0002561279999999,3.9467104807593993
9,0,downRight,lowC,3.850180947811465,1,0,0,0,1,3.865640985599997,0.1600102655999999,0.0012820735999999,0.8000512256000001,4.048541742261472
10,0,midLeft,high,13.650489410537784,1,100,0,0,0,80.77312819712,0.0320020531199999,0.0002564147199999,0.1600102451199999,13.44964012887628
11,0,downLeft,lowB,4.043392257155109,0,0,0,0,0,16.154625639423998,0.0064004106239999,5.128294399999993e-05,0.0320020490239999,4.006943326822908
12,0,midLeft,high,44.39833652309232,1,100,0,0,0,83.2309251278848,0.0012800821247999,1.0256588799999986e-05,0.0064004098047999,44.26714400939205
13,0,midLeft,high,212.04821344831376,1,100,0,0,0,96.64618502557695,0.0002560164249599,2.051317759999997e-06,0.0012800819609599,212.1135735982467
14,0,midRight,lowA,3.984051023812407,1,0,1,0,0,19.329237005115388,0.800051203284992,4.102635519999992e-07,0.0002560163921919,3.9714698065105476
15,0,downLeft,lowB,4.001842618178364,0,0,0,0,0,3.865847401023077,0.1600102406569983,8.205271039999984e-08,5.1203278438399904e-05,4.0557416318470505
16,0,downRight,lowC,4.000074973141504,1,0,0,0,1,0.773169480204615,0.0320020481313996,1.6410542079999966e-08,0.8000102406556877,3.913378126833704
17,0,midLeft,high,6.255606438990768,1,100,0,0,0,80.15463389604093,0.0064004096262799,3.282108415999993e-09,0.1600020481311375,5.787714819115041
18,0,downRight,lowC,4.528648421395273,1,0,0,0,1,16.030926779208187,0.0012800819252559,6.564216831999984e-10,0.8320004096262276,4.444507576248164
19,0,downLeft,lowB,3.896543265310483,0,0,0,0,0,3.2061853558416367,0.0002560163850511,1.3128433663999968e-10,0.1664000819252454,3.9276390374842625
20,0,downLeft,lowB,3.991688361435003,0,0,0,0,0,0.6412370711683271,5.120327701023939e-05,2.6256867327999927e-11,0.0332800163850491,4.0768694141907424
21,0,downLeft,lowB,3.926287939128717,0,0,0,0,0,0.1282474142336653,1.0240655402047877e-05,5.251373465599984e-12,0.0066560032770098,4.064486792775936
22,0,midRight,lowA,3.85580403290102,1,0,1,0,0,0.025649482846733,0.8000020481310804,1.0502746931199964e-12,0.0013312006554019,4.068184720927885
23,0,downRight,lowC,3.9671865812334897,1,0,0,0,1,0.0051298965693466,0.1600004096262161,2.1005493862399926e-13,0.8002662401310804,4.095416816653545
24,0,midRight,lowA,4.5549407497655,1,0,1,0,0,0.0010259793138693,0.8320000819252432,4.201098772479984e-14,0.160053248026216,4.418619682556202
25,0,downLeft,lowB,4.156317465891772,1,0,0,1,0,0.0002051958627738,0.1664000163850486,0.8000000000000085,0.0320106496052431,4.0342967069311495
26,0,midRight,lowA,4.34327434808057,1,0,1,0,0,4.103917255477289e-05,0.8332800032770098,0.1600000000000017,0.0064021299210486,4.4210099477656035
27,0,downRight,lowC,4.173160861849982,1,0,0,0,1,8.20783451095458e-06,0.1666560006554018,0.0320000000000003,0.8012804259842098,3.9812526131223174
28,0,midRight,lowA,4.415611456118089,1,0,1,0,0,1.6415669021909154e-06,0.8333312001310804,0.0064,0.1602560851968418,4.335574584830327
29,0,downRight,lowC,4.325958738019105,1,0,0,0,1,3.28313380438183e-07,0.166666240026216,0.00128,0.8320512170393685,4.629305597438186
30,0,downRight,lowC,6.100652672132306,0,0,0,0,0,6.566267608763661e-08,0.0333332480052432,0.000256,0.1664102434078737,5.977736362538608
31,0,midRight,lowA,4.000753599199731,1,0,1,0,0,1.3132535217527322e-08,0.8066666496010487,5.1200000000000486e-05,0.0332820486815747,4.1809214753588995
32,0,midRight,lowA,6.006466782331882,1,0,1,0,0,2.626507043505464e-09,0.9613333299202098,1.0240000000000092e-05,0.0066564097363149,5.901064811503283
33,0,midRight,lowA,6.256066081771897,1,0,1,0,0,5.253014087010929e-10,0.992266665984042,2.0480000000000183e-06,0.0013312819472629,6.328074211034071
34,0,midRight,lowA,6.602513759858085,1,0,1,0,0,1.0506028174021853e-10,0.9984533331968084,4.096000000000037e-07,0.0002662563894525,6.453413737326381
35,0,midRight,lowA,6.550541150460242,1,0,1,0,0,2.10120563480437e-11,0.9996906666393616,8.192000000000072e-08,5.325127789051947e-05,6.3996010009981035
36,0,midRight,lowA,6.383790089394762,1,0,1,0,0,4.20241126960874e-12,0.9999381333278724,1.6384000000000142e-08,1.0650255578103889e-05,6.615987522541724
37,0,midLeft,high,4.042226701785009,1,100,0,0,0,80.00000000000085,0.1999876266655744,3.2768000000000274e-09,2.1300511156207777e-06,4.052723703486919
38,0,midRight,lowA,4.474359662056227,1,0,1,0,0,16.00000000000017,0.8399975253331149,6.553600000000055e-10,4.260102231241555e-07,4.513404623875698
