Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight
0,0,downLeft,lowB,5.1836109135432045,0,0,0,0,0,0.1539269080294676,0.1539269080294676,0.1539269080294676,0.1539269080294676
1,0,midLeft,high,4.422911913669344,1,100,0,0,0,0.9999,0.09477397206204871,0.09477397206204871,0.09477397206204871
2,0,downLeft,lowB,4.009433536727102,1,0,0,1,0,0.6156460613546586,0.05835305792472922,0.44264542580685884,0.05835305792472922
3,0,downLeft,lowB,7.014957994693842,1,0,0,1,0,0.37905797865936997,0.03592842312167196,0.6568325348734771,0.03592842312167196
4,0,downRight,lowC,3.553001271479638,0,0,0,0,0,0.23338889047574693,0.022121404325973586,0.40441680474492714,0.022121404325973586
5,0,midRight,lowA,3.4335422132965574,1,0,1,0,0,0.14369932111743913,0.39791268535879687,0.2490025132381742,0.01362031747666721
6,0,midRight,lowA,6.583753310747066,0,0,0,0,0,0.08847676874216394,0.244997877291928,0.1533127478172749,0.008386133422252416
7,0,downLeft,lowB,4.215232421407266,0,0,0,0,0,0.05447582177967817,0.15084706290131755,0.09439582893205853,0.005163406352039568
8,0,downLeft,lowB,3.917979382677043,1,0,0,1,0,0.03354117923564076,0.09287768791090568,0.44241260019569095,0.0031791486986766536
9,0,midRight,lowA,3.9344902090000224,1,0,1,0,0,0.020651560045617454,0.4414778691823359,0.27239681448559894,0.001957426117412811
10,0,downLeft,lowB,5.447490445359585,1,0,0,1,0,0.01271532313522714,0.271821293466699,0.5520091655255086,0.0012052021997979185
11,0,downRight,lowC,3.4047723488868242,1,0,0,0,1,0.007828921499204278,0.16736244495959798,0.3398762562130725,0.38503442007479044
12,0,midRight,lowA,4.581472411115244,1,0,1,0,0,0.004820326718311754,0.4873387025736611,0.20926440492603748,0.23706863106812665
13,0,midLeft,high,3.127760945784597,0,0,0,0,0,0.0029679119497662346,0.30005815860102397,0.12884569124356576,0.14596496548438126
14,0,midLeft,high,3.1886984543953805,0,0,0,0,0,0.0018273660389249002,0.18474809832988487,0.0793312754641661,0.08987174327055505
15,0,midLeft,high,3.0228528822715686,1,100,0,0,0,0.9999,0.1137508141609729,0.04884487176893222,0.0553347182434186
16,0,midLeft,high,11.565860413960602,1,100,0,0,0,0.9999,0.07003724443853254,0.030074160337950274,0.034070008343564794
17,0,downRight,lowC,3.3851737902725745,1,0,0,0,1,0.6156460613546586,0.04312246593330936,0.018516890049612537,0.40526953204558197
18,0,downRight,lowC,6.416201468498514,0,0,0,0,0,0.37905797865936997,0.02655083139088144,0.01140099052663389,0.24952754394530266
19,0,midLeft,high,6.443840035572136,1,100,0,0,0,0.9999,0.016347549526440436,0.007019676880952025,0.15363601323075016
20,0,midLeft,high,11.471036519973165,1,100,0,0,0,0.9999,0.010065311009854253,0.0043220686306035296,0.09459486591433498
21,0,midRight,lowA,3.1094327149487073,1,0,1,0,0,0.6156460613546586,0.39048965669053687,0.002661130642399826,0.05824278090262264
22,0,downRight,lowC,3.630530493569859,0,0,0,0,0,0.37905797865936997,0.24042746188745057,0.0016384784465883042,0.035860524717513706
23,0,downRight,lowC,3.5789881102162235,1,0,0,0,1,0.23338889047574693,0.1480330232548317,0.0010088236846250514,0.4063719666424544
24,0,midLeft,high,5.189882058266587,1,100,0,0,0,0.9999,0.09114506222348207,0.0006211404420849156,0.2502063213405078
25,0,midLeft,high,11.363294542479329,0,0,0,0,0,0.6156460613546586,0.056118710440856104,0.00038244091080875064,0.15405394165348704
26,0,downRight,lowC,4.498245411582442,1,0,0,0,1,0.37905797865936997,0.03455271832304792,0.00023547178761905752,0.47914455551602264
27,0,downRight,lowC,7.176681965497424,1,0,0,0,1,0.23338889047574693,0.021274372381919586,0.00014498177678549197,0.6793053276010694
28,0,downLeft,lowB,3.1810523157167205,1,0,0,1,0,0.14369932111743913,0.013098793444065527,0.3843816342686145,0.4182534747423087
29,0,downRight,lowC,6.638922478007441,0,0,0,0,0,0.08847676874216394,0.00806502709504667,0.2366667058651259,0.2575218565586584
30,0,downLeft,lowB,5.069974653985829,1,0,0,1,0,0.05447582177967817,0.004965698735657652,0.5300098649514828,0.15855817252032944
31,0,midLeft,high,3.664899727583517,0,0,0,0,0,0.03354117923564076,0.003057418610342476,0.32633111894838973,0.09762547695542884
32,0,downRight,lowC,3.8859833648842126,1,0,0,0,1,0.020651560045617454,0.0018824759729670756,0.20092456053408814,0.44440111913273445
33,0,downLeft,lowB,4.8370875373169575,1,0,0,1,0,0.01271532313522714,0.0011590548238343424,0.5080031532828968,0.2736211607717476
34,0,downRight,lowC,5.536819715602695,0,0,0,0,0,0.007828921499204278,0.0007136389010778384,0.31278141861622394,0.16847063699611584
35,0,midLeft,high,3.2678988406038574,1,100,0,0,0,0.9999,0.000439392917969835,0.19258190662666363,0.10372865698626778
36,0,downLeft,lowB,4.73888366623734,1,0,0,1,0,0.6156460613546586,0.0002705375730925688,0.5028665175999775,0.06386652577578172
37,0,midRight,lowA,3.1630382250360114,1,0,1,0,0,0.37905797865936997,0.3844589399306574,0.3096187528228415,0.0393231073570015
38,0,midLeft,high,6.247284235164252,0,0,0,0,0,0.23338889047574693,0.23671430355125161,0.19063462915983995,0.0242115373182962
39,0,midLeft,high,5.310832601100136,1,100,0,0,0,0.9999,0.1457468033279719,0.11737519611967338,0.014907228312181607
