Trial,switch,t_pos,t_frequency,resp_speed,Resp,Reward_midLeft,Reward_midRight,Reward_downLeft,Reward_downRight,Pval_midLeft,Pval_midRight,Pval_downLeft,Pval_downRight,simulated_RS
0,0,downRight,high,4.729197434451789,1,0,0,0,100,0.0499999999999999,0.0499999999999999,0.0499999999999999,0.9999,4.62686419151993
1,0,downRight,high,6.578210877585798,1,0,0,0,100,0.0099999999999999,0.0099999999999999,0.0099999999999999,0.9999,6.463892117304918
2,0,downRight,high,6.679914022031313,1,0,0,0,100,0.0019999999999999,0.0019999999999999,0.0019999999999999,0.9999,6.621916437754351
3,0,downLeft,lowC,3.941237404895764,1,0,0,1,0,0.0003999999999999,0.0003999999999999,0.8004,0.1999799999999999,3.979017614695703
4,0,midRight,lowB,3.975385713846031,1,0,1,0,0,0.0001,0.80008,0.16008,0.0399959999999999,3.8854687691141994
5,0,midRight,lowB,5.945177681704364,0,0,0,0,0,0.0001,0.1600159999999999,0.0320159999999999,0.0079991999999999,6.033183424336017
6,0,midLeft,lowA,3.839514920047953,1,1,0,0,0,0.8000200000000001,0.0320031999999999,0.0064031999999999,0.0015998399999999,4.167025620798129
7,0,downRight,high,4.0350634780159815,1,0,0,0,100,0.1600039999999999,0.0064006399999999,0.0012806399999999,0.9999,4.013409506547106
8,0,midLeft,lowA,4.368016391785792,0,0,0,0,0,0.0320007999999999,0.0012801279999999,0.0002561279999999,0.1999799999999999,4.336372389554414
9,0,downLeft,lowC,4.058046580594998,0,0,0,0,0,0.0064001599999999,0.0002560255999999,0.0001,0.0399959999999999,4.1135214198569985
10,0,midRight,lowB,3.972293294907404,1,0,1,0,0,0.0012800319999999,0.80005120512,0.0001,0.0079991999999999,4.024161123180496
11,0,downLeft,lowC,3.977015388097228,1,0,0,1,0,0.0002560063999999,0.1600102410239999,0.8000200000000001,0.0015998399999999,3.8302319839624914
12,0,downRight,high,4.101781631488082,0,0,0,0,0,0.0001,0.0320020482047999,0.1600039999999999,0.0003199679999999,4.057027714448752
13,0,midLeft,lowA,3.9823401207657154,1,1,0,0,0,0.8000200000000001,0.0064004096409599,0.0320007999999999,0.0001,3.9472872089672912
14,0,midRight,lowB,3.996563390272464,0,0,0,0,0,0.1600039999999999,0.0012800819281919,0.0064001599999999,0.0001,3.8637083506799597
15,0,midRight,lowB,3.916432049485028,0,0,0,0,0,0.0320007999999999,0.0002560163856383,0.0012800319999999,0.0001,4.267289033235959
16,0,downRight,high,3.903786541124118,1,0,0,0,100,0.0064001599999999,0.0001,0.0002560063999999,0.9999,4.122664111062939
17,0,midRight,lowB,4.027591229968529,1,0,1,0,0,0.0012800319999999,0.8000200000000001,0.0001,0.1999799999999999,3.958497568427169
18,0,downRight,high,4.572484064274534,1,0,0,0,100,0.0002560063999999,0.1600039999999999,0.0001,0.9999,4.659758435934441
19,0,midLeft,lowA,3.939511866613431,1,1,0,0,0,0.8000512012800001,0.0320007999999999,0.0001,0.1999799999999999,4.002347511432169
20,0,downLeft,lowC,4.0885287183936665,0,0,0,0,0,0.1600102402559999,0.0064001599999999,0.0001,0.0399959999999999,3.9361764511767956
21,0,downRight,high,4.023687349168766,1,0,0,0,100,0.0320020480511999,0.0012800319999999,0.0001,0.9999,4.025977015523486
22,0,downLeft,lowC,3.895065031766546,0,0,0,0,0,0.0064004096102399,0.0002560063999999,0.0001,0.1999799999999999,4.002866298542344
23,0,downLeft,lowC,3.9793448054751,0,0,0,0,0,0.0012800819220479,0.0001,0.0001,0.0399959999999999,4.238950776050032
24,0,downRight,high,4.107936714699751,0,0,0,0,0,0.0002560163844095,0.0001,0.0001,0.0079991999999999,4.089322747203099
25,0,midRight,lowB,3.944888556974652,1,0,1,0,0,0.0001,0.8000200000000001,0.0001,0.0015998399999999,4.033826372198097
26,0,midLeft,lowA,4.115592046734245,1,1,0,0,0,0.8000200000000001,0.1600039999999999,0.0001,0.0003199679999999,3.9356533750332168
27,0,downRight,high,4.002118188077949,0,0,0,0,0,0.1600039999999999,0.0320007999999999,0.0001,0.0001,4.025655381840042
28,0,midRight,lowB,4.118690650719033,1,0,1,0,0,0.0320007999999999,0.80640016,0.0001,0.0001,4.1778345844194735
29,0,midRight,lowB,6.040220394504286,1,0,1,0,0,0.0064001599999999,0.961280032,0.0001,0.0001,6.006026586690345
30,0,downLeft,lowC,3.835107555193563,1,0,0,1,0,0.0012800319999999,0.1922560063999999,0.8000200000000001,0.0001,4.285848902196591
31,0,midRight,lowB,4.387431855994523,1,0,1,0,0,0.0002560063999999,0.8384512012800001,0.1600039999999999,0.0001,4.278058980753873
32,0,downLeft,lowC,4.468531825217145,1,0,0,1,0,0.0001,0.167690240256,0.8320008,0.0001,4.4541378862968495
33,0,downLeft,lowC,5.975637087725503,1,0,0,1,0,0.0001,0.0335380480512,0.96640016,0.0001,6.215095500835082
34,0,midLeft,lowA,4.0114881976601175,1,1,0,0,0,0.8000200000000001,0.00670760961024,0.193280032,0.0001,3.9558058264826115
35,0,downRight,high,4.061843352365219,1,0,0,0,100,0.1600039999999999,0.0013415219220479,0.0386560064,0.9999,4.204586631943125
36,0,midRight,lowB,3.980237638116278,1,0,1,0,0,0.0320007999999999,0.8002683043844097,0.0077312012799999,0.1999799999999999,3.9522381595851743
37,0,midRight,lowB,5.964601640501039,1,0,1,0,0,0.0064001599999999,0.960053660876882,0.0015462402559999,0.0399959999999999,5.91236671454344
38,0,midLeft,lowA,3.950087327569404,1,1,0,0,0,0.8012800320000001,0.1920107321753763,0.0003092480511999,0.0079991999999999,3.9213558990704556
39,0,midLeft,lowA,5.872417153044624,1,1,0,0,0,0.9602560064,0.0384021464350752,0.0001,0.0015998399999999,6.048585585564575
40,0,midLeft,lowA,6.548782938933364,1,1,0,0,0,0.99205120128,0.007680429287015,0.0001,0.0003199679999999,6.343856416984152
41,0,downRight,high,3.8372312101004815,1,0,0,0,100,0.1984102402559999,0.001536085857403,0.0001,0.9999,4.237864396748066
42,0,downLeft,lowC,3.9401257768954334,0,0,0,0,0,0.0396820480511999,0.0003072171714806,0.0001,0.1999799999999999,3.955852668811872
43,0,midRight,lowB,4.184005540943361,1,0,1,0,0,0.0079364096102399,0.8000614434342962,0.0001,0.0399959999999999,4.010234876452023
44,0,midLeft,lowA,4.104581120954955,0,0,0,0,0,0.0015872819220479,0.1600122886868592,0.0001,0.0079991999999999,4.125023306353435
45,0,midRight,lowB,4.363362490074466,1,0,1,0,0,0.0003174563844095,0.8320024577373719,0.0001,0.0015998399999999,4.470158024914329
46,0,downRight,high,4.126246581479353,1,0,0,0,100,0.0001,0.1664004915474743,0.0001,0.9999,3.916337001372053
47,0,midRight,lowB,4.489940346255823,0,0,0,0,0,0.0001,0.0332800983094948,0.0001,0.1999799999999999,4.1878805792606535
48,0,midLeft,lowA,3.9274071724549726,0,0,0,0,0,0.0001,0.0066560196618989,0.0001,0.0399959999999999,4.011789582489081
49,0,downRight,high,4.018424508042812,1,0,0,0,100,0.0001,0.0013312039323797,0.0001,0.9999,4.268567553477988
50,0,midRight,lowB,4.021011805058888,1,0,1,0,0,0.0001,0.800266240786476,0.0001,0.1999799999999999,4.022040874088121
51,0,midRight,lowB,6.088052333992948,1,0,1,0,0,0.0001,0.9600532481572952,0.0001,0.0399959999999999,6.156515521861299
52,0,downLeft,lowC,3.914967257188214,1,0,0,1,0,0.0001,0.1920106496314589,0.8000200000000001,0.0079991999999999,4.00497271057677
