Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight
0,0,downLeft,lowC,1.1328641162414197,1,0,0,1,0,0.055536950185608815,0.055536950185608815,0.8333891494431737,0.055536950185608815
1,0,downRight,high,0.3430233580193317,1,0,0,0,1,0.012337411343675178,0.012337411343675178,0.18513556671140974,0.7901896106012399
2,0,midRight,lowB,0.28563120146502563,1,0,1,0,0,0.0027407287968522144,0.780592928054417,0.041127458984144084,0.17553888416458677
3,0,downRight,high,1.0863025797332393,1,0,0,0,1,0.0006088468746521798,0.1734070022423867,0.009136374563452315,0.8168477763195088
5,0,downRight,high,3.6827631649753605,1,0,0,0,1,0.00013525399419288687,0.03852198418148475,0.0020296255160300583,0.9593131363082923
6,0,midRight,lowB,0.32496539586455536,1,0,1,0,0,3.0046377351579918e-05,0.7864097733237165,0.0004508768447168076,0.21310930345421508
7,0,midLeft,lowA,0.39530709075879883,1,1,0,0,0,0.7778588739942137,0.17469920162622066,0.0001001612994595273,0.047341763080106125
9,0,downLeft,lowC,0.12253958444787658,1,0,0,1,0,0.17279963814580157,0.03880904343272418,0.7778744498699592,0.010516868551514992
11,0,midRight,lowB,0.40945993149369636,1,0,1,0,0,0.03838705958317845,0.7864735429050621,0.17280309829234308,0.002336299219416336
13,0,downRight,high,0.3530287477351021,1,0,0,0,1,0.008527600863371915,0.1747133678984708,0.03838782824712289,0.7783712029910343
15,0,downRight,high,3.4392746523466804,1,0,0,0,1,0.0018943877774073633,0.03881219043894926,0.008527771620376684,0.9507656501632666
16,0,midLeft,lowA,0.24678229393742918,1,1,0,0,0,0.7782730333360692,0.008622042748009153,0.0018944257107004335,0.21121049820522123
18,0,downRight,high,1.061995951847639,1,0,0,0,1,0.1728916427327517,0.0019153678343774962,0.0004208425053020262,0.8247721469275687
19,0,downRight,high,3.8426204875573555,1,0,0,0,1,0.03840749819982764,0.0004254947520197618,9.348923701178177e-05,0.9610735178111408
20,0,midRight,lowB,0.24323786983411227,1,0,1,0,0,0.00853214125711075,0.7779467219809534,2.076842839525559e-05,0.21350036833354058
21,0,downRight,high,1.1471950845298606,1,0,0,0,1,0.0018953964158909499,0.17281915338285547,4.613660692882773e-06,0.8252808365405607
22,0,downLeft,lowC,0.05527349070936036,1,0,0,1,0,0.0004210581453252687,0.03839139485017093,0.7778532241721411,0.18333432283236273
23,0,downRight,high,1.1165228999775771,1,0,0,0,1,9.353714096869715e-05,0.008528563933399926,0.17279838305025363,0.8185795158753778
24,0,downRight,high,3.6200643735646927,1,0,0,0,1,2.0779070153931206e-05,0.0018946017212960464,0.038386780766462736,0.9596978384420873
25,0,downLeft,lowC,0.4423398907047373,1,0,0,1,0,4.616024736168593e-06,0.000420881605668749,0.7863797381824165,0.21319476418717864
26,0,downLeft,lowC,3.4626215822403172,1,0,0,1,0,1.0254397433125325e-06,9.349792307225747e-05,0.9525447286432006,0.04736074799398382
28,0,downRight,high,0.36539096314473596,1,0,0,0,1,2.2779918377076638e-07,2.0770357984487383e-05,0.21160571657688676,0.788373285265945
29,0,downLeft,lowC,1.180124422575537,1,0,0,1,0,5.060508768559759e-08,4.614089346886952e-06,0.8248599438196472,0.17513539148591817
30,0,midRight,lowB,0.31328359617609847,1,0,1,0,0,1.1241808935733596e-08,0.7778532242673656,0.18324082244006334,0.03890594205076214
31,0,downRight,high,0.3568065296062232,1,0,0,0,1,2.4973431314398754e-09,0.1727983830714075,0.040706545711295145,0.7864950687199542
32,0,downLeft,lowC,0.14126260089796971,1,0,0,1,0,5.547792843485945e-10,0.03838678077116203,0.7868950688631504,0.17471814981090827
33,0,downLeft,lowC,3.5517964009436436,1,0,0,1,0,1.232429979155024e-10,0.008527538925895648,0.9526592082205808,0.03881325273028061
34,0,downRight,high,0.32704197206879426,1,0,0,0,1,2.7378160943833394e-11,0.0018943740181332266,0.21163114796323168,0.7864744779912569
35,0,downLeft,lowC,1.0687973039127558,1,0,0,1,0,6.081998242045022e-12,0.0004208310219119063,0.8248655933461936,0.17471357562581247
36,0,midLeft,lowA,0.09793469030935098,1,1,0,0,0,0.7778521992589159,9.348668600192155e-05,0.1832420774699608,0.03881223658512137
37,0,midLeft,lowA,3.4540395687151566,1,1,0,0,0,0.9506503546255994,2.0767861694025473e-05,0.04070682451342672,0.008622052999279796
38,0,downRight,high,0.31363146501684036,1,0,0,0,1,0.21118488555509307,4.6135348014508234e-06,0.009042931540865995,0.7797675693692395
