Trial,switch,t_pos,t_frequency,resp_speed,Resp,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight,simulated_RS
0,0,midLeft,lowA,3.004642231092705,1,1,0,0,0,0.475,0.175,0.175,0.175,3.1363726759825203
1,0,midRight,lowB,2.931472875794164,1,0,1,0,0,0.3325,0.4225,0.1225,0.1225,2.872917716075715
2,0,downRight,lowC,2.5355104607389083,1,0,0,0,1,0.23275,0.2957499999999999,0.0857499999999999,0.38575,2.526402687804133
4,0,midRight,lowB,3.4423519667605755,1,0,1,0,0,0.162925,0.5070250000000001,0.060025,0.270025,3.5132594086840165
5,0,midRight,lowB,4.090514991401096,1,0,1,0,0,0.1140475,0.6549175,0.0420175,0.1890175,4.457354604450887
6,0,downLeft,high,2.22795966406616,1,0,0,1,0,0.07983325,0.45844225,0.3294122499999999,0.13231225,2.29290522723151
7,0,downLeft,high,3.596344078008637,1,0,0,1,0,0.055883275,0.320909575,0.530588575,0.092618575,3.4555094776157405
8,0,midLeft,lowA,2.148281967669449,1,1,0,0,0,0.3391182925,0.2246367025,0.3714120025,0.0648330025,2.1788456316307174
9,0,downLeft,high,3.567884215343512,1,0,0,1,0,0.2373828047499999,0.15724569175,0.55998840175,0.04538310175,3.7802748269893036
11,0,downLeft,high,4.332218503859212,1,0,0,1,0,0.166167963325,0.110071984225,0.691991881225,0.031768171225,4.56305356631058
12,0,midLeft,lowA,2.7170275185576966,1,1,0,0,0,0.4163175743275,0.0770503889575,0.4843943168575,0.0222377198575,2.622894540930577
13,0,midLeft,lowA,3.992070208842347,1,1,0,0,0,0.59142230202925,0.05393527227025,0.33907602180025,0.01556640390025,3.893237254816903
14,0,downRight,lowC,2.290153020825756,1,0,0,0,1,0.413995611420475,0.037754690589175,0.237353215260175,0.310896482730175,1.873479411442205
15,0,downLeft,high,3.302149448590071,1,0,0,1,0,0.2897969279943325,0.0264282834124225,0.4661472506821225,0.2176275379111225,2.9470004594765666
16,0,downLeft,high,3.9496536322713776,1,0,0,1,0,0.2028578495960327,0.0184997983886957,0.6263030754774858,0.1523392765377857,3.9776010227894543
17,0,downLeft,high,4.625339493987053,1,0,0,1,0,0.1420004947172229,0.012949858872087,0.73841215283424,0.10663749357645,4.800435243489575
18,0,midLeft,lowA,2.728948515524156,1,1,0,0,0,0.399400346302056,0.0090649012104609,0.516888506983968,0.074646245503515,2.694045411928709
19,0,downLeft,high,4.281229172856263,1,0,0,1,0,0.2795802424114392,0.0063454308473226,0.6618219548887776,0.0522523718524605,4.2643287501832035
20,0,midRight,lowB,2.0982291218485782,1,0,1,0,0,0.1957061696880074,0.3044418015931258,0.4632753684221443,0.0365766602967223,1.9482113512308745
22,0,downRight,lowC,2.3411639445411896,1,0,0,0,1,0.1369943187816052,0.213109261115188,0.324292757895501,0.3256036622077056,2.299104788631672
23,0,downRight,lowC,3.4497014604315663,1,0,0,0,1,0.0958960231471236,0.1491764827806316,0.2270049305268507,0.5279225635453939,3.566051717504659
24,0,downLeft,high,3.07051353152626,1,0,0,1,0,0.0671272162029865,0.1044235379464421,0.4589034513687955,0.3695457944817757,2.9359922646623016
25,0,downRight,lowC,3.7239326700957376,1,0,0,0,1,0.0469890513420906,0.0730964765625095,0.3212324159581569,0.558682056137243,3.8283806234035627
26,0,downLeft,high,3.3597404804066864,1,0,0,1,0,0.0328923359394634,0.0511675335937566,0.5248626911707098,0.3910774392960701,3.67566861557846
27,0,downLeft,high,4.307217828223842,1,0,0,1,0,0.0230246351576243,0.0358172735156296,0.6674038838194969,0.273754207507249,4.269330110330651
29,0,midRight,lowB,2.259349092440855,1,0,1,0,0,0.016117244610337,0.3250720914609408,0.4671827186736478,0.1916279452550743,2.117298931548596
31,0,midRight,lowB,3.441190977614479,1,0,1,0,0,0.0112820712272359,0.5275504640226585,0.3270279030715535,0.134139561678552,3.3551554913502253
32,0,downRight,lowC,2.702716037212526,1,0,0,0,1,0.0078974498590651,0.3692853248158609,0.2289195321500874,0.3938976931749864,2.6554746364449175
34,0,downLeft,high,2.965169682510273,1,0,0,1,0,0.0055282149013456,0.2584997273711026,0.4602436725050612,0.2757283852224905,3.038282109855413
35,0,downLeft,high,4.07782037268231,1,0,0,1,0,0.0038697504309419,0.1809498091597718,0.6221705707535429,0.1930098696557434,4.278597574930608
37,0,downLeft,high,4.884087459450059,1,0,0,1,0,0.0027088253016593,0.1266648664118403,0.73551939952748,0.1351069087590203,4.7509725734941455
39,0,midRight,lowB,2.569537116302965,1,0,1,0,0,0.0018961777111615,0.3886654064882882,0.514863579669236,0.0945748361313142,2.3934240291397
40,0,midLeft,lowA,2.047665797732548,1,1,0,0,0,0.301327324397813,0.2720657845418017,0.3604045057684652,0.0662023852919199,1.9787930246281114
42,0,downLeft,high,3.6640993310774816,1,0,0,1,0,0.2109291270784691,0.1904460491792612,0.5522831540379256,0.0463416697043439,3.5914562098646674
43,0,downLeft,high,4.385142339826105,1,0,0,1,0,0.1476503889549284,0.1333122344254828,0.6865982078265479,0.0324391687930408,4.657713873791724
44,0,downLeft,high,5.158863221378624,1,0,0,1,0,0.1033552722684499,0.093318564097838,0.7806187454785836,0.0227074181551285,5.3241602719156464
45,0,midLeft,lowA,2.479772813766119,1,1,0,0,0,0.372348690587915,0.0653229948684866,0.5464331218350085,0.0158951927085899,2.5101049400119946
46,0,midLeft,lowA,3.670697845981317,1,1,0,0,0,0.5606440834115405,0.0457260964079406,0.3825031852845059,0.0111266348960129,3.5759428841770706
47,0,midLeft,lowA,4.695213727266679,1,1,0,0,0,0.6924508583880783,0.0320082674855584,0.2677522296991541,0.007788644427209,4.549795853851048
49,0,midRight,lowB,2.2606906077837,1,0,1,0,0,0.4847156008716548,0.3224057872398909,0.1874265607894079,0.0054520510990463,2.180746415650301
52,0,downLeft,high,2.862745481713404,1,0,0,1,0,0.3393009206101584,0.2256840510679236,0.4311985925525855,0.0038164357693324,2.9959038504022266
55,0,downLeft,high,3.95865041566294,1,0,0,1,0,0.2375106444271108,0.1579788357475465,0.6018390147868099,0.0026715050385327,3.8065815042319846
58,0,downLeft,high,4.693652175680604,1,0,0,1,0,0.1662574510989776,0.1105851850232826,0.7212873103507669,0.0018700535269729,4.83242082737316
60,0,downLeft,high,5.103728533498632,1,0,0,1,0,0.1163802157692843,0.0774096295162978,0.8049011172455368,0.001309037468881,5.1177349927879385
61,0,downLeft,high,5.54186149612047,1,0,0,1,0,0.081466151038499,0.0541867406614084,0.8634307820718757,0.0009163262282167,5.685645734636306
62,0,midRight,lowB,2.153032985837217,1,0,1,0,0,0.0570263057269493,0.3379307184629859,0.604401547450313,0.0006414283597517,2.1617776961197643
66,0,midRight,lowB,3.476615389288295,1,0,1,0,0,0.0399184140088645,0.5365515029240902,0.4230810832152191,0.0004489998518261,3.4684850294149006
68,0,downRight,lowC,2.105419334256092,1,0,0,0,1,0.0279428898062051,0.3755860520468631,0.2961567582506534,0.3003142998962783,2.1599061803028903
69,0,downLeft,high,3.135906628078305,1,0,0,1,0,0.0195600228643436,0.2629102364328042,0.5073097307754574,0.2102200099273948,3.3504170228190207
70,0,midLeft,lowA,2.230233978441086,1,1,0,0,0,0.3136920160050405,0.1840371655029629,0.3551168115428201,0.1471540069491763,2.003326756864919
71,0,downLeft,high,3.641610678947894,1,0,0,1,0,0.2195844112035283,0.1288260158520741,0.5485817680799742,0.1030078048644234,3.5381966365302016
72,0,downLeft,high,4.30261468010641,1,0,0,1,0,0.1537090878424698,0.0901782110964518,0.6840072376559819,0.0721054634050964,4.477574772017908
73,0,downRight,lowC,2.417628110464808,1,0,0,0,1,0.1075963614897289,0.0631247477675163,0.4788050663591873,0.3504738243835675,2.2377605954577606
74,0,downLeft,high,4.100320485907278,1,0,0,1,0,0.0753174530428102,0.0441873234372614,0.6351635464514311,0.2453316770684972,4.110624295648263
