Trial,switch,t_pos,t_frequency,resp_speed,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight
0,0,downLeft,lowB,6.259432845899358,0,0,1,0,0.08890969082086145,0.08890969082086145,0.7332709275374156,0.08890969082086145
1,0,downRight,lowC,6.210477034060286,0,0,0,1,0.0316197324874447,0.0316197324874447,0.26077956582111167,0.6759809692039989
2,0,midRight,high,6.304988982067116,0,1,0,0,0.011245202557188225,0.6556064392737424,0.09274332227821411,0.2404050358908552
3,0,midRight,high,6.870307022661486,0,1,0,0,0.003999229930310263,0.8775202999805315,0.03298312043782211,0.08549734965133615
4,0,downLeft,lowB,6.344788231124861,0,0,1,0,0.001422281186501683,0.3120802342411946,0.6560913128782903,0.030406171694013537
5,0,midRight,high,6.554178416847506,0,1,0,0,0.0005058183222087705,0.7553490652673007,0.23333150311304746,0.01081361329744309
6,0,downRight,lowC,6.416046620376738,0,0,0,1,0.00017988860255643466,0.2686314074189696,0.08298172720219169,0.6482069767762823
7,0,downRight,lowC,6.692220385360929,0,0,0,1,6.397536014195773e-05,0.09553574151357383,0.02951151883731172,0.8748887642889724
8,0,downRight,lowC,6.990093669108503,0,0,0,1,2.2752117961498894e-05,0.033976212961254346,0.010495440061917653,0.9555055948588664
9,0,downLeft,lowB,6.274895976150743,0,0,1,0,8.091535093906541e-06,0.012083258358595476,0.6480938220402901,0.3398148280660205
10,0,downLeft,lowB,6.776572223593911,0,0,1,0,2.8776635338615225e-06,0.004297275059085254,0.8748485220786046,0.12085132519877628
11,0,midRight,high,6.374799597317263,0,1,0,0,1.023408700328382e-06,0.6458895143040561,0.3111300464523853,0.04297941583485833
12,0,midRight,high,6.870500220425973,0,1,0,0,3.6396380451830435e-07,0.8740645848013942,0.11064990494064733,0.015285146294153961
13,0,midRight,high,6.985981089110261,0,1,0,0,1.2943963731882758e-07,0.9552124846851806,0.03935139535052265,0.00543599052465946
14,0,midLeft,lowA,6.376488791587872,1,0,0,0,0.6443612827503068,0.339710586726345,0.013994881575937815,0.00193324894741042
15,0,midLeft,lowA,6.85165388894612,1,0,0,0,0.8735210864216081,0.1208142529376511,0.004977122375964805,0.0006875382647760651
16,0,midRight,high,6.485209297778125,0,1,0,0,0.31065795887699266,0.6873274682183139,0.0017700576464984887,0.0002445152581950061
17,0,midRight,high,6.963912511166665,0,1,0,0,0.11048201229917323,0.8888015274844573,0.0006295011123411292,8.695910402840441e-05
18,0,midRight,high,6.958894422193904,0,1,0,0,0.03929168621914442,0.9604535127555641,0.0002238749970785527,3.092602821289825e-05
19,0,midRight,high,6.942101757982071,0,1,0,0,0.01397364669429773,0.9859357361841843,7.961862709110151e-05,1.0998494426904087e-05
20,0,midRight,high,7.040572599621426,0,1,0,0,0.004969570428919856,0.9949982026100512,2.8315470073005195e-05,3.9114909559640404e-06
21,0,midRight,high,6.9857657504610975,0,1,0,0,0.0017673718813910407,0.9982211669620442,1.0070078758552987e-05,1.3910778061734345e-06
