Trial,switch,t_pos,t_frequency,resp_speed,outcome_midLeft,outcome_midRight,outcome_downLeft,outcome_downRight,Pp_midLeft,Pp_midRight,Pp_downLeft,Pp_downRight,simulated_RS
0,0,downLeft,high,3.148241646610836,0,0,1,0,0.175,0.175,0.475,0.175,3.1627154038206537
1,0,midRight,lowB,2.6444283718859936,0,1,0,0,0.1225,0.4225,0.3325,0.1225,2.7124777928515074
2,0,midRight,lowB,3.955949226688897,0,1,0,0,0.0857499999999999,0.59575,0.23275,0.0857499999999999,3.7824118100401067
3,0,downLeft,high,3.065395340594234,0,0,1,0,0.0600249999999999,0.417025,0.462925,0.0600249999999999,3.0618515448130315
4,0,downLeft,high,4.132521826125369,0,0,1,0,0.0420175,0.2919175,0.6240475,0.0420175,3.760903910405611
5,0,midRight,lowB,3.3679517994721517,0,1,0,0,0.02941225,0.50434225,0.4368332499999999,0.02941225,3.3979222579401425
6,0,midRight,lowB,4.431389186030191,0,1,0,0,0.020588575,0.653039575,0.3057832749999999,0.020588575,4.4877074467506395
7,0,midRight,lowB,4.953712648063789,0,1,0,0,0.0144120025,0.7571277024999999,0.2140482924999999,0.0144120025,4.934697035325425
8,0,downLeft,high,2.966471742883036,0,0,1,0,0.01008840175,0.52998939175,0.4498338047499999,0.01008840175,2.879618752620824
9,0,midLeft,lowA,2.085136083208309,1,0,0,0,0.3070618812249999,0.370992574225,0.3148836633249999,0.007061881225,1.9744036753528054
10,0,downLeft,high,3.3796990960925246,0,0,1,0,0.2149433168574999,0.2596948019575,0.5204185643275,0.0049433168575,3.364153616710015
11,0,downLeft,high,4.394850292307762,0,0,1,0,0.1504603218002499,0.18178636137025,0.66429299502925,0.00346032180025,4.444637189057871
12,0,downLeft,high,4.949236839998799,0,0,1,0,0.1053222252601749,0.127250452959175,0.765005096520475,0.002422225260175,4.8877008355820575
13,0,downLeft,high,5.73587916314338,0,0,1,0,0.0737255576821225,0.0890753170714225,0.8355035675643325,0.0016955576821225,5.643901861018941
14,0,downRight,lowC,2.0312533524763787,0,0,0,1,0.0516078903774857,0.0623527219499957,0.5848524972950329,0.3011868903774857,2.1809834238180748
15,0,midLeft,lowA,2.291739064562296,1,0,0,0,0.33612552326424,0.043646905364997,0.409396748106523,0.21083082326424,2.1114217052107502
16,0,downLeft,high,3.9025532720481855,0,0,1,0,0.235287866284968,0.0305528337554979,0.5865777236745662,0.147581576284968,3.8246199601932602
17,0,midLeft,lowA,2.94682295985088,1,0,0,0,0.4647015063994776,0.0213869836288485,0.4106044065721963,0.1033071033994776,3.0811773883849756
18,0,midLeft,lowA,3.964723556043394,1,0,0,0,0.6252910544796344,0.0149708885401939,0.2874230846005374,0.0723149723796343,4.048925580925274
19,0,midRight,lowB,2.032475220652489,0,1,0,0,0.4377037381357441,0.3104796219781357,0.2011961592203762,0.050620480665744,2.0830481521853463
20,0,downLeft,high,2.793788712772693,0,0,1,0,0.3063926166950209,0.217335735384695,0.4408373114542633,0.0354343364660208,2.8811130885104532
21,0,downLeft,high,3.9337687429037738,0,0,1,0,0.2144748316865146,0.1521350147692865,0.6085861180179843,0.0248040355262145,3.946675966582672
22,0,downLeft,high,4.875337990939781,0,0,1,0,0.1501323821805602,0.1064945103385005,0.726010282612589,0.0173628248683502,4.714689269571624
23,0,midLeft,lowA,2.694939138724991,1,0,0,0,0.4050926675263921,0.0745461572369504,0.5082071978288123,0.0121539774078451,2.5937193918205503
24,0,downRight,lowC,2.041427574881471,0,0,0,1,0.2835648672684745,0.0521823100658652,0.3557450384801686,0.3085077841854916,2.087923327475454
25,0,downLeft,high,3.834715744007333,0,0,1,0,0.1984954070879321,0.0365276170461057,0.549021526936118,0.215955448929844,3.5058774772722057
26,0,downLeft,high,4.406609469694715,0,0,1,0,0.1389467849615525,0.0255693319322739,0.6843150688552826,0.1511688142508908,4.414266505118734
27,0,downLeft,high,5.022715536032012,0,0,1,0,0.0972627494730867,0.0178985323525917,0.7790205481986978,0.1058181699756236,4.97473158760708
28,0,downLeft,high,5.355167954324945,0,0,1,0,0.0680839246311607,0.0125289726468142,0.8453143837390885,0.0740727189829365,5.488210998594653
29,0,downLeft,high,5.878428317746962,0,0,1,0,0.0476587472418125,0.0087702808527699,0.891720068617362,0.0518509032880555,5.844059616208241
30,0,midRight,lowB,2.039385539881118,0,1,0,0,0.0333611230692687,0.306139196596939,0.6242040480321533,0.0362956323016389,1.9671951762908646
31,0,downRight,lowC,2.198367919548738,0,0,0,1,0.0233527861484881,0.2142974376178573,0.4369428336225073,0.3254069426111472,2.067545046104555
32,0,midRight,lowB,2.9841622538786376,0,1,0,0,0.0163469503039416,0.4500082063325001,0.3058599835357551,0.227784859827803,3.010043656356599
33,0,midRight,lowB,3.9969395165602175,0,1,0,0,0.0114428652127591,0.61500574443275,0.2141019884750286,0.1594494018794621,4.1495199151250795
34,0,midLeft,lowA,1.815671447715615,1,0,0,0,0.3080100056489314,0.430504021102925,0.14987139193252,0.1116145813156235,2.1096512044493925
